Sample #,Code,Voltage
2687,2845,2.2927 V
2688,2862,2.3064 V
2689,2822,2.2741 V
2690,2860,2.3048 V
2691,2846,2.2935 V
2692,2927,2.3588 V
2693,2848,2.2951 V
2694,2842,2.2903 V
2695,2824,2.2758 V
2696,2774,2.2355 V
2697,2814,2.2677 V
2698,2835,2.2846 V
2699,2878,2.3193 V
2700,2852,2.2983 V
2701,2854,2.2999 V
2702,2900,2.3370 V
2703,2849,2.2959 V
2704,2825,2.2766 V
2705,2785,2.2443 V
2706,2801,2.2572 V
2707,2782,2.2419 V
2708,2789,2.2475 V
2709,2846,2.2935 V
2710,2796,2.2532 V
2711,2818,2.2709 V
2712,2823,2.2749 V
2713,2858,2.3032 V
2714,2820,2.2725 V
2715,2763,2.2266 V
2716,2785,2.2443 V
2717,2771,2.2330 V
2718,2820,2.2725 V
2719,2768,2.2306 V
2720,2758,2.2226 V
2721,2742,2.2097 V
2722,2710,2.1839 V
2723,2762,2.2258 V
2724,2758,2.2226 V
2725,2715,2.1879 V
2726,2696,2.1726 V
2727,2742,2.2097 V
2728,2771,2.2330 V
2729,2700,2.1758 V
2730,2733,2.2024 V
2731,2686,2.1645 V
2732,2703,2.1782 V
2733,2695,2.1718 V
2734,2685,2.1637 V
2735,2638,2.1259 V
2736,2630,2.1194 V
2737,2724,2.1952 V
2738,2717,2.1895 V
2739,2734,2.2032 V
2740,2717,2.1895 V
2741,2708,2.1823 V
2742,2747,2.2137 V
2743,2681,2.1605 V
2744,2693,2.1702 V
2745,2670,2.1516 V
2746,2638,2.1259 V
2747,2665,2.1476 V
2748,2748,2.2145 V
2749,2780,2.2403 V
2750,2743,2.2105 V
2751,2737,2.2056 V
2752,2745,2.2121 V
2753,2751,2.2169 V
2754,2680,2.1597 V
2755,2683,2.1621 V
2756,2711,2.1847 V
2757,2692,2.1694 V
2758,2685,2.1637 V
2759,2769,2.2314 V
2760,2753,2.2185 V
2761,2753,2.2185 V
2762,2772,2.2338 V
2763,2771,2.2330 V
2764,2733,2.2024 V
2765,2701,2.1766 V
2766,2680,2.1597 V
2767,2702,2.1774 V
2768,2740,2.2081 V
2769,2712,2.1855 V
2770,2780,2.2403 V
2771,2742,2.2097 V
2772,2748,2.2145 V
2773,2773,2.2347 V
2774,2692,2.1694 V
2775,2687,2.1653 V
2776,2660,2.1436 V
2777,2699,2.1750 V
2778,2738,2.2064 V
2779,2717,2.1895 V
2780,2750,2.2161 V
2781,2745,2.2121 V
2782,2761,2.2250 V
2783,2719,2.1911 V
2784,2722,2.1936 V
2785,2690,2.1678 V
2786,2606,2.1001 V
2787,2649,2.1347 V
2788,2647,2.1331 V
2789,2661,2.1444 V
2790,2634,2.1226 V
2791,2674,2.1549 V
2792,2723,2.1944 V
2793,2681,2.1605 V
2794,2689,2.1670 V
2795,2657,2.1412 V
2796,2617,2.1089 V
2797,2638,2.1259 V
2798,2638,2.1259 V
2799,2674,2.1549 V
2800,2614,2.1065 V
2801,2670,2.1516 V
2802,2691,2.1686 V
2803,2701,2.1766 V
2804,2619,2.1105 V
2805,2593,2.0896 V
2806,2643,2.1299 V
2807,2592,2.0888 V
2808,2646,2.1323 V
2809,2623,2.1138 V
2810,2636,2.1242 V
2811,2670,2.1516 V
2812,2662,2.1452 V
2813,2675,2.1557 V
2814,2621,2.1122 V
2815,2620,2.1114 V
2816,2603,2.0977 V
2817,2594,2.0904 V
2818,2605,2.0993 V
2819,2558,2.0614 V
2820,0,0.0000 V
2821,0,0.0000 V
2822,0,0.0000 V
2823,0,0.0000 V
2824,0,0.0000 V
2825,0,0.0000 V
2826,0,0.0000 V
2827,0,0.0000 V
2828,0,0.0000 V
2829,0,0.0000 V
2830,0,0.0000 V
2831,0,0.0000 V
2832,0,0.0000 V
2833,0,0.0000 V
2834,0,0.0000 V
2835,0,0.0000 V
2836,0,0.0000 V
2837,0,0.0000 V
2838,0,0.0000 V
2839,0,0.0000 V
2840,0,0.0000 V
2841,0,0.0000 V
2842,0,0.0000 V
2843,0,0.0000 V
2844,0,0.0000 V
2845,0,0.0000 V
2846,0,0.0000 V
2847,0,0.0000 V
2848,0,0.0000 V
2849,0,0.0000 V
2850,0,0.0000 V
2851,0,0.0000 V
2852,0,0.0000 V
2853,0,0.0000 V
2854,0,0.0000 V
2855,0,0.0000 V
2856,0,0.0000 V
2857,0,0.0000 V
2858,0,0.0000 V
2859,0,0.0000 V
2860,0,0.0000 V
2861,0,0.0000 V
2862,0,0.0000 V
2863,0,0.0000 V
2864,0,0.0000 V
2865,0,0.0000 V
2866,0,0.0000 V
2867,0,0.0000 V
2868,0,0.0000 V
2869,0,0.0000 V
2870,0,0.0000 V
2871,0,0.0000 V
2872,0,0.0000 V
2873,0,0.0000 V
2874,0,0.0000 V
